"a = numpy.fromfile('filename', dtype=numpy.float32)",numpy: efficiently reading a large array,,,
"subprocess.call('mv /home/somedir/subdir/* somedir/', shell=True)",How to use the mv command in Python with subprocess,,,
"subprocess.call('mv /home/somedir/subdir/* somedir/', shell=True)",How to use the mv command in Python with subprocess,,,
print('\u25b2'.encode('utf-8')),How to use Unicode characters in a python string,,,
"difflib.SequenceMatcher(None, file1.read(), file2.read())",Comparing two .txt files using difflib in Python,,,
"dict((k, int(v)) for k, v in (e.split(' - ') for e in s.split(',')))",Creating a dictionary from a string,,,
"all(i in (1, 2, 3, 4, 5) for i in (1, 6))",How to check if all elements in a tuple or list are in another?,,,
df['Date'].map(lambda t: t.date()).unique(),python pandas extract unique dates from time series,,,
"""""""{:>7s}"""""".format(mystring)",Formatting text to be justified in Python 3.3 with .format() method,,,
"open('ComponentReport-DJI.xls', 'rb').read(200)",How do I read an Excel file into Python using xlrd? Can it read newer Office formats?,,,
"df.sort_values(['b', 'c'], ascending=[True, False], inplace=True)",How to sort a dataFrame in python pandas by two or more columns?,,,
"df.sort_values(['a', 'b'], ascending=[True, False])",How to sort a dataFrame in python pandas by two or more columns?,,,
"df1.sort(['a', 'b'], ascending=[True, False], inplace=True)",How to sort a dataFrame in python pandas by two or more columns?,,,
"df.sort(['a', 'b'], ascending=[True, False])",How to sort a dataFrame in python pandas by two or more columns?,,,
redirect('Home.views.index'),Django redirect to root from a view,,,
"[x for x in a if x not in [2, 3, 7]]",Remove all values within one list from another list in python,,,
"out = ''.join(c for c in asking if c not in ('!', '.', ':'))",How to remove all the punctuation in a string? (Python),,,
"soup.find('meta', {'name': 'City'})['content']",Python: BeautifulSoup - get an attribute value based on the name attribute,,,
urllib.parse.unquote('%0a'),How to unquote a urlencoded unicode string in python?,,,
urllib.parse.unquote(url).decode('utf8'),How to unquote a urlencoded unicode string in python?,,,
del lst[:],empty a list,,,
del lst1[:],empty a list,,,
lst[:] = [],empty a list,,,
alist[:] = [],empty a list,,,
s.reset_index(0).reset_index(drop=True),Pandas reset index on series to remove multiindex,,,
elems[0].getText().encode('utf-8'),How to convert unicode text to normal text,,,
"[(y - x) for x, y in zip(L, L[1:])]",Subtracting the current and previous item in a list,,,
"print(re.search('\\bLOG_ADDR\\s+(\\S+)', line).group(1))",Cleanest way to get a value from a list element,,,
globals().update(importlib.import_module('some.package').__dict__),Importing everything ( * ) dynamically from a module,,,
""""""""""""".join(['a', 'b', 'c', 'd'])",Convert a list of characters into a string,,,
url.split('&'),Slicing URL with Python,,,
od = collections.OrderedDict(sorted(d.items())),sort a dictionary by key,,,
"OrderedDict(sorted(list(d.items()), key=(lambda t: t[0])))",sort a dictionary by key,,,
"response = requests.put(url, data=json.dumps(data), headers=headers)",PUT Request to REST API using Python,,,
"re.sub('[\\W_]+', '', s)",Python remove anything that is not a letter or number,,,
[(x + y) for x in l2 for y in l1],Python Nested List Comprehension with two Lists,,,
dict([x.split('=') for x in s.split()]),convert string to dict using list comprehension in python,,,
my_list.pop(2),Remove object from a list of objects in python,,,
"s = s.replace('M', '')",How to delete a character from a string using python?,,,
"newstr = oldstr.replace('M', '')",How to delete a character from a string using python?,,,
"sum(x * y for x, y in zip(a, b))",How can I sum the product of two list items using for loop in python?,,,
"list(x * y for x, y in list(zip(a, b)))",How can I sum the product of two list items using for loop in python?,,,
"sum(i * j for i, j in zip(a, b))",How can I sum the product of two list items using for loop in python?,,,
"sum(x * y for x, y in list(zip(a, b)))",How can I sum the product of two list items using for loop in python?,,,
"f.write(open('xxx.mp4', 'rb').read())",Can I read and write file in one line with Python?,,,
new_list = [(x + 1) for x in my_list],How to add an integer to each element in a list?,,,
[x for x in j if x >= 5],Return list of items in list greater than some value,,,
"plt.plot(list(range(10)), '--bo')",matplotlib: Set markers for individual points on a line,,,
"plt.plot(list(range(10)), linestyle='--', marker='o', color='b')",matplotlib: Set markers for individual points on a line,,,
"[i.split('\t', 1)[0] for i in l]",split elements of a list in python,,,
myList = [i.split('\t')[0] for i in myList],split elements of a list in python,,,
sum(your_list),Summing elements in a list,,,
ForkedPdb().set_trace(),How to attach debugger to a python subproccess?,,,
"result = {k: d2.get(v) for k, v in list(d1.items())}",Python: comprehension to compose two dictionaries,,,
"datetime.datetime.now() + datetime.timedelta(days=1, hours=3)",datetime.datetime.now() + 1,,,
"[int(s[i:i + 3], 2) for i in range(0, len(s), 3)]",Convert binary string to list of integers using Python,,,
"dict((v, k) for k, v in my_dict.items())",switching keys and values in a dictionary in python,,,
"print(sorted(L, key=lambda x: int(x.split('.')[2])))",Specific sort a list of numbers separated by dots,,,
any(d['name'] == 'Test' for d in label),How to find a value in a list of python dictionaries?,,,
"a[:] = [x for x in a if x != [1, 1]]",How can I remove all instances of an element from a list in Python?,,,
"[x for x in a if x != [1, 1]]",How can I remove all instances of an element from a list in Python?,,,
"b = {a[i]: a[i + 1] for i in range(0, len(a), 2)}",Convert a list to a dictionary in Python,,,
len(set(a)) == len(a),How to check whether elements appears in the list only once in python?,,,
"print(hashlib.md5(open(full_path, 'rb').read()).hexdigest())",Generating an MD5 checksum of a file,,,
"sorted(list(data.items()), key=lambda x: x[1][0])",How to sort a dictionary in python by value when the value is a list and I want to sort it by the first index of that list,,,
""""""""""""".join(x.upper() if random.randint(0, 1) else x for x in s)",Pythons fastest way of randomising case of a string,,,
"os.system('GREPDB=""echo 123""; /bin/bash -c ""$GREPDB""')",How to force os.system() to use bash instead of shell,,,
"os.system('/bin/bash -c ""echo hello world""')",How to force os.system() to use bash instead of shell,,,
"getattr(test, a_string)",how to access the class variable by string in Python?,,,
Image.open('pathToFile').show(),How to display a jpg file in Python?,,,
"""""""didn't"""""".replace(""'"", '')",Replace the single quote (') character from a string,,,
files.sort(key=file_number),Sorting files in a list,,,
"sentence.replace(' ', '')",remove all whitespace in a string,,,
"pattern = re.compile('\\s+')
sentence = re.sub(pattern, '', sentence)",remove all whitespace in a string,,,
sentence.strip(),remove all whitespace in a string,,,
"sentence = re.sub('\\s+', '', sentence, flags=re.UNICODE)",remove all whitespace in a string,,,
sentence = ''.join(sentence.split()),remove all whitespace in a string,,,
sum(my_counter.values()),Sum all values of a counter in Python,,,
np.sqrt(((A - B) ** 2).sum(-1)),Numpy: find the euclidean distance between two 3-D arrays,,,
"levels = [{}, {}, {}]",Python: define multiple variables of same type?,,,
"weekly = [sum(visitors[x:x + 7]) for x in range(0, len(daily), 7)]",Find the sum of subsets of a list in python,,,
del d[key],Delete an element from a dictionary,,,
{i: a[i] for i in a if (i != 0)},Delete an element from a dictionary,,,
lol.pop('hello'),Delete an element from a dictionary,,,
del r[key],Delete an element from a dictionary,,,
"np.linalg.solve(np.dot(a.T, a), np.dot(a.T, b))",Efficient computation of the least-squares algorithm in NumPy,,,
"pd.concat([df.drop('b', axis=1), pd.DataFrame(df['b'].tolist())], axis=1)",Splitting dictionary/list inside a Pandas Column into Separate Columns,,,
"for i in range(0, 10, 2):
    pass",loop through a Python list by twos,,,
"for i in mylist[::2]:
    pass",loop through a Python list by twos,,,
[{'content': x['content'].lower()} for x in messages],How to use map to lowercase strings in a dictionary?,,,
""""""" """""".join(my_list)",convert list into string with spaces in python,,,
"re.sub('(http://\\S+|\\S*[^\\w\\s]\\S*)', '', a)",Regex. Match words that contain special characters or 'http://',,,
str(n) == str(n)[::-1],How to check for palindrome using Python logic,,,
"ftp.storbinary('STOR myfile.txt', open('myfile.txt', 'rb'))",How to upload binary file with ftplib in Python?,,,
"re.sub('.*I', 'I', stri)",How to remove all characters before a specific character in Python?,,,
"int('1,000,000'.replace(',', ''))",Python parse comma-separated number into int,,,
"pd.merge(df1, df2, left_index=True, right_index=True, how='outer')",Combine two Pandas dataframes with the same index,,,
"pandas.concat([df1, df2], axis=1)",Combine two Pandas dataframes with the same index,,,
all(dict.values()),What's the best way to aggregate the boolean values of a Python dictionary?,,,
"df.c_contofficeID.str.replace('^12(?=.{4}$)', '')",How to extract first two characters from string using regex,,,
L[::(-1)],reverse a list,,,
reversed(array),reverse a list,,,
L.reverse(),reverse a list,,,
list(reversed(array)),reverse a list,,,
[tup[0] for tup in A],How to index nested lists in Python?,,,
"newcontents = contents.replace('a', 'e').replace('s', '3')",Replacing characters in a file,,,
json.dumps([dict(list(row.items())) for row in rs]),How to serialize SqlAlchemy result to JSON?,,,
config_file = os.path.expanduser('~/foo.ini'),Cross-platform addressing of the config file,,,
request.params.getall('c'),How to get multiple parameters with same name from a URL in Pylons?,,,
np.corrcoef(x),how to create similarity matrix in numpy python?,,,
"print(max(1, 2, 3))",Python - Find the greatest number in a set of numbers,,,
self.request.get('var_name'),Google App Engine - Request class query_string,,,
"a['x'].apply(lambda x, y: x + y, args=(100,))",python pandas: apply a function with arguments to a series. Update,,,
User.objects.order_by('-pet__age')[:10],Get models ordered by an attribute that belongs to its OneToOne model,,,
time.sleep(5),make a time delay,,,
time.sleep(60),make a time delay,,,
sleep(0.1),make a time delay,,,
time.sleep(60),make a time delay,,,
time.sleep(0.1),make a time delay,,,
[x for x in my_list if not any(c.isdigit() for c in x)],Remove strings from a list that contains numbers in python,,,
df['state'].apply(lambda x: x[len(x) / 2 - 1:len(x) / 2 + 1]),"how to do a left,right and mid of a string in a pandas dataframe",,,
plt.grid(True),How do I draw a grid onto a plot in Python?,,,
"sorted(lst, key=lambda x: (-1 * c[x], lst.index(x)))",python How do you sort list by occurrence with out removing elements from the list?,,,
[max(len(str(x)) for x in line) for line in zip(*foo)],Find max length of each column in a list of lists,,,
df.Country.value_counts().reset_index(name='Sum of Accidents'),Count the number of Occurrence of Values based on another column,,,
data.set_index('Date').diff(),Calculating difference between two rows in Python / Pandas,,,
"a.update([3, 4])",python: append values to a set,,,
a[1::2] = -1,How can I get an array of alternating values in python?,,,
df.groupby('group')['value'].rank(ascending=False),Faster way to rank rows in subgroups in pandas dataframe,,,
"datetime.strptime('Tue, 22 Nov 2011 06:00:00 GMT', '%a, %d %b %Y %H:%M:%S %Z')",Js Date object to python datetime,,,
"struct.pack('<I', 1633837924)",Python: Converting from binary to String,,,
list.append('foo'),Inserting a string into a list without getting split into characters,,,
"list.insert(0, 'foo')",Inserting a string into a list without getting split into characters,,,
theset = set(k.lower() for k in thedict),Case insensitive dictionary search with Python,,,
"""""""{s:{c}^{n}}"""""".format(s='dog', n=5, c='x')",How to pad with n characters in Python,,,
"isinstance(s, str)",How to check if type of a variable is string?,,,
"isinstance(s, str)",How to check if type of a variable is string?,,,
dict(pair for d in L for pair in list(d.items())),How do I merge a list of dicts into a single dict?,,,
"{k: v for d in L for k, v in list(d.items())}",How do I merge a list of dicts into a single dict?,,,
"df.sort_values(['Peak', 'Weeks'], ascending=[True, False], inplace=True)",How to sort a Pandas DataFrame according to multiple criteria?,,,
"df.sort(['Peak', 'Weeks'], ascending=[True, False], inplace=True)",How to sort a Pandas DataFrame according to multiple criteria?,,,
"eval(""print('Hello')"")",Running Python code contained in a string,,,
"[{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]",Creating a list of dictionaries in python,,,
"[{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]",Creating a list of dictionaries in python,,,
list(itertools.product(*a)),how to get all possible combination of items from 2-dimensional list in python?,,,
"df.groupby(['Country', 'Item_Code'])[['Y1961', 'Y1962', 'Y1963']].sum()","Pandas sum by groupby, but exclude certain columns",,,
"done = [(el, x) for el in [a, b, c, d]]",Python turning a list into a list of tuples,,,
x = x[numpy.logical_not(numpy.isnan(x))],Removing nan values from an array,,,
os.path.join(*x.split(os.path.sep)[2:]),Removing the first folder in a path,,,
"line = line.replace(';', ':')",Replacing instances of a character in a string,,,
"subprocess.call('tar c my_dir | md5sum', shell=True)",Python - How to call bash commands with pipe?,,,
"""""""437c2123"""""".decode('hex')",hex string to character in python,,,
"[k for k, v in User._fields.items() if v.required]",Get required fields from Document in mongoengine?,,,
"df = df.ix[:, 0:2]",Pandas remove column by index,,,
"x = map(int, x.split())",Change a string of integers separated by spaces to a list of int,,,
x = [int(i) for i in x.split()],Change a string of integers separated by spaces to a list of int,,,
"driver.find_element_by_css_selector(""input[onclick*='1 Bedroom Deluxe']"")",Find and click an item from 'onclick' partial value,,,
"re.sub('[^a-zA-Z0-9-_*.]', '', my_string)",Python / Remove special character from string,,,
webbrowser.open('file:///my_pdf.pdf'),How to display a pdf that has been downloaded in python,,,
"result = result.replace('\\', '')",Removing backslashes from a string in Python,,,
"result.replace('\\', '')",Removing backslashes from a string in Python,,,
"df.replace('-', 'NaN')",Replace value in any column in pandas dataframe,,,
datetime.datetime.now().date(),How do I convert datetime to date (in Python)?,,,
datetime.datetime.now().date(),How do I convert datetime to date (in Python)?,,,
[elem.tag for elem in a.iter()],How to get all sub-elements of an element tree with Python ElementTree?,,,
[elem.tag for elem in a.iter() if elem is not a],How to get all sub-elements of an element tree with Python ElementTree?,,,
"""""""2.7.0_bf4fda703454"""""".split('_')",How can I split and parse a string in Python?,,,
"sorted(lst, key=lambda x: x['language'] != 'en')",Python - Move elements in a list of dictionaries to the end of the list,,,
all(value == 0 for value in list(your_dict.values())),"How to check if all values of a dictionary are 0, in Python?",,,
"df.pivot_table('Y', rows='X', cols='X2')",Python Pandas Pivot Table,,,
"try:
    doSomething()
except:
    pass",do a try-except without handling the exception,,,
"try:
    doSomething()
except Exception:
    pass",do a try-except without handling the exception,,,
M.sum(axis=0).sum(axis=0),Python - Sum 4D Array,,,
time.mktime(dt.timetuple()) + dt.microsecond / 1000000.0,Python datetime to microtime,,,
df[(x <= df['columnX']) & (df['columnX'] <= y)],How to check if any value of a column is in a range in Pandas?,,,
"sorted(L, key=itemgetter(2))",sort a list of lists by a specific index of the inner list,,,
l.sort(key=(lambda x: x[2])),sort a list of lists by a specific index of the inner list,,,
"sorted(l, key=(lambda x: x[2]))",sort a list of lists by a specific index,,,
"sorted_list = sorted(list_to_sort, key=itemgetter(2, 0, 1))",sort a list of lists by a specific index,,,
"np.argwhere(np.all(arr == [[0, 3], [3, 0]], axis=(1, 2)))",How to find row of 2d array in 3d numpy array,,,
"data.loc[:, (list(itertools.product(['one', 'two'], ['a', 'c'])))]",How to select only specific columns from a DataFrame with MultiIndex columns?,,,
"data.loc[:, ([('one', 'a'), ('one', 'c'), ('two', 'a'), ('two', 'c')])]",How to select only specific columns from a DataFrame with MultiIndex columns?,,,
"hashtags = re.findall('#(\\w+)', str1, re.UNICODE)",How to account for accent characters for regex in Python?,,,
"os.rename(src, dst)",Rename Files,,,
print(etree.tostring(some_tag.find('strong'))),How to get text for a root element using lxml?,,,
"json.dumps({str(k): v for k, v in data.items()})","Saving dictionary whose keys are tuples with json, python",,,
soup = BeautifulSoup(response.read().decode('utf-8')),How to correctly parse UTF-8 encoded HTML to Unicode strings with BeautifulSoup?,,,
os.remove(filename),How to delete a file without an extension?,,,
min([x for x in num_list if x > 2]),Get the immediate minimum among a list of numbers in python,,,
df['prod_type'] = 'responsive',pandas: replace string with another string,,,
"sorted(lst, key=lambda x: (x < 0, x))",How do I sort a list with positives coming before negatives with values sorted respectively?,,,
six_months = (date.today() + relativedelta(months=(+ 6))),How do I calculate the date six months from the current date,,,
"(date(2010, 12, 31) + relativedelta(months=(+ 1)))",How do I calculate the date six months from the current date,,,
"(date(2010, 12, 31) + relativedelta(months=(+ 2)))",How do I calculate the date six months from the current date,,,
print((datetime.date.today() + datetime.timedelta(((6 * 365) / 12))).isoformat()),calculate the date six months from the current date,,,
"sorted(list(things.keys()), key=lambda x: things[x]['weight'], reverse=True)",Finding The Biggest Key In A Python Dictionary,,,
a[np.arange(len(a)) != 3],how to get all the values from a numpy array excluding a certain index?,,,
[x for x in lst if fn(x) != 0],what is a quick way to delete all elements from a list that do not satisfy a constraint?,,,
df.set_index('month'),Python Pandas - Date Column to Column index,,,
"arr = [line.split(',') for line in open('./urls-eu.csv')]",How to read lines from a file into a multidimensional array (or an array of lists) in python,,,
[i for i in range(100) if i > 10 if i < 20],python list comprehension with multiple 'if's,,,
""""""""""""".join([c for c in strs if c.isdigit()])",Removing letters from a list of both numbers and letters,,,
"re.split('\\t+', yas.rstrip('\t'))",splitting a string based on tab in the file,,,
(a.T * b).T,numpy matrix multiplication,,,
'test string\n'.rstrip(),remove (chomp) a newline,,,
'test string \n\n'.rstrip('\n'),remove (chomp) a newline,,,
s.strip(),remove (chomp) a newline,,,
s.rstrip(),remove (chomp) a newline,,,
s.lstrip(),remove (chomp) a newline,,,
'Mac EOL\r'.rstrip('\r\n'),remove (chomp) a newline,,,
'Windows EOL\r\n'.rstrip('\r\n'),remove (chomp) a newline,,,
'Unix EOL\n'.rstrip('\r\n'),remove (chomp) a newline,,,
'Hello\n\n\n'.rstrip('\n'),remove (chomp) a newline,,,
"re.findall('.{,16}\\b', text)",Python - split sentence after words but with maximum of n characters in result,,,
[[X[i][j] for j in range(len(X[i]))] for i in range(len(X))],NumPy List Comprehension Syntax,,,
'\xd0\xbc\xd0\xb0\xd1\x80\xd0\xba\xd0\xb0'.encode('latin-1'),Convert unicode string to byte string,,,
df.groupby((df.a == 'B').shift(1).fillna(0).cumsum()),Best way to split a DataFrame given an edge,,,
"urllib.request.urlretrieve('http://search.twitter.com/search.json?q=hi', 'hi.json')",Save JSON outputed from a URL to a file,,,
numpy.where((x == 0))[0],Find indices of elements equal to zero from numpy array,,,
sys.stdout.flush(),"python, subprocess: reading output from subprocess",,,
str(i),Converting integer to string,,,
a.__str__(),Converting integer to string,,,
str(a),Converting integer to string,,,
L.sort(key=operator.itemgetter(1)),Method to sort a list of lists?,,,
print(str(count) + '    ' + str(conv)),How do I add space between two variables after a print in Python,,,
"df.fillna(method='ffill', inplace=True)",Pandas changing cell values based on another cell,,,
text.config(state=DISABLED),Is there a way to make the Tkinter text widget read only?,,,
"sum(map(ord, string))",Python sum of ASCII values of all characters in a string,,,
list(itertools.product(*arrays)),How to apply itertools.product to elements of a list of lists?,,,
"'{:,}'.format(value)",print number with commas as thousands separators,,,
"locale.setlocale(locale.LC_ALL, 'en_US')
locale.format('%d', 1255000, grouping=True)",print number with commas as thousands separators,,,
"df[df.Col1.isin(['men', 'rocks', 'mountains'])]","How to pass through a list of queries to a pandas dataframe, and output the list of results?",,,
[x[1] for x in L],Accessing a value in a tuple that is in a list,,,
'\u0440\u0430\u0437 \u0434\u0432\u0430 \u0442\u0440\u0438'.split(),splitting unicode string into words,,,
MyModel.objects.extra(select={'length': 'Length(name)'}).order_by('length'),Django - How to sort queryset by number of character in a field,,,
"min(dicts, key=lambda x: (abs(1.77672955975 - x['ratio']), -x['pixels']))",Python - Choose a dictionary in list which key is closer to a global value,,,
m[~m.mask],Finding missing values in a numpy array,,,
"re.findall('\\b[A-Z]', formula)",Use of findall and parenthesis in Python,,,
matrix = [([0] * 5) for i in range(5)],How to define two-dimensional array in python,,,
"np.vstack(np.meshgrid(x_p, y_p, z_p)).reshape(3, -1).T",Creating a numpy array of 3D coordinates from three 1D arrays,,,
arr[arr != 0].min(),How to find the minimum value in a numpy matrix?,,,
"browser.find_elements_by_xpath(""//*[@type='submit']/@value"").text",Python Selenium: Find object attributes using xpath,,,
"browser.find_elements_by_xpath(""//*[@type='submit']"").get_attribute('value')",Python Selenium: Find object attributes using xpath,,,
"with open('example.yaml', 'r') as stream:
    try:
        print((yaml.load(stream)))
    except yaml.YAMLError as exc:
        print(exc)",parse a YAML file,,,
"with open('example.yaml') as stream:
    try:
        print((yaml.load(stream)))
    except yaml.YAMLError as exc:
        print(exc)",parse a YAML file,,,
"pd.DataFrame(df.columns[np.argsort(df.values)], df.index, np.unique(df.values))",How to swap a group of column headings with their values in Pandas,,,
datetime.datetime.today().strftime('%Y-%m-%d'),Getting today's date in YYYY-MM-DD in Python?,,,
urllib.parse.quote_plus('string_of_characters_like_these:,How to urlencode a querystring in Python?,,#@=?%^Q^,')
"print(' '.join(sorted(d, key=lambda k: len(d[k]), reverse=True)))",python sorting dictionary by length of values,,,
"map(list, zip(*[(1, 2), (3, 4), (5, 6)]))",convert list of tuples to multiple lists in Python,,,
"map(list, zip(*[(1, 2), (3, 4), (5, 6)]))",convert list of tuples to multiple lists in Python,,,
"zip(*[(1, 2), (3, 4), (5, 6)])",convert list of tuples to multiple lists in Python,,,
"[(x, y) for x, y in zip(myList, myList[1:]) if y == 9]",Create a list of tuples with adjacent list elements if a condition is true,,,
driver.get('http://www.google.com.br'),How can i set proxy with authentication in selenium chrome web driver using python,,,
b = a.decode('utf8')[::-1].encode('utf8'),Python reversing an UTF-8 string,,,
"dparser.parse('monkey 2010-07-32 love banana', fuzzy=True)",Extracting date from a string in Python,,,
"dparser.parse('monkey 20/01/1980 love banana', fuzzy=True)",Extracting date from a string in Python,,,
"dparser.parse('monkey 10/01/1980 love banana', fuzzy=True)",Extracting date from a string in Python,,,
"dict(map(lambda s: s.split(':'), ['A:1', 'B:2', 'C:3', 'D:4']))",Efficient way to convert a list to dictionary,,,
"re.search('[a-zA-Z]', the_string)",How can I check if a string contains ANY letters from the alphabet?,,,
"DataFrame({'count': df1.groupby(['Name', 'City']).size()}).reset_index()",Converting a Pandas GroupBy object to DataFrame,,,
"re.sub('[^0-9]', '', 'sdkjh987978asd098as0980a98sd')",Removing all non-numeric characters from string in Python,,,
[y for y in a if y not in b],List comprehension with if statement,,,
df.groupby('ID').head(4),How to subset a dataset in pandas dataframe?,,,
zip(*l),How to unzip a list of tuples into individual lists?,,,
"dict(zip([1, 2, 3, 4], ['a', 'b', 'c', 'd']))",How do I combine two lists into a dictionary in Python?,,,
"dict(zip([1, 2, 3, 4], ['a', 'b', 'c', 'd']))",How do I combine two lists into a dictionary in Python?,,,
request.url,How do I get the different parts of a Flask request's url?,,,
"somestring.replace('\\r', '')",How to remove ^M from a text file and replace it with the next line,,,
"simplejson.dumps(dict([('%d,%d' % k, v) for k, v in list(d.items())]))",Best way to encode tuples with json,,,
"datetime.strptime('Jun 1 2005  1:33PM', '%b %d %Y %I:%M%p')",Converting string into datetime,,,
parser.parse('Aug 28 1999 12:00AM'),Converting string into datetime,,,
os.path.split(os.path.abspath(existGDBPath)),Python - Extract folder path from file path,,,
os.path.dirname(os.path.abspath(existGDBPath)),Python - Extract folder path from file path,,,
"requests.post('http://httpbin.org/post', json={'test': 'cheers'})",Post JSON using Python Requests,,,
a = [x for x in a if x['link'] not in b],Python - Remove dictionary from list if key is equal to value,,,
{{request.args.get('a')}},Getting a request parameter in Jinja2,,,
"list(range(11, 17))",Python - Create list with numbers between 2 values?,,,
data_df['grade'] = data_df['grade'].astype(float).astype(int),type conversion in python from int to float,,,
"max(alkaline_earth_values, key=lambda x: x[1])",Sorting or Finding Max Value by the second element in a nested list. Python,,,
